date,time,gender,device,activity,country,state
7/18/2014,5:33 AM,female,mobile,0,Afghanistan,
7/18/2014,10:10 AM,male,desktop,1,Afghanistan,
7/26/2014,2:45 AM,male,tablet,0,Afghanistan,
7/29/2014,4:37 AM,male,tablet,0,Afghanistan,
7/30/2014,7:07 AM,male,mobile,0,Afghanistan,
7/27/2014,11:40 AM,male,mobile,1,Afghanistan,
7/24/2014,6:20 PM,male,mobile,0,Afghanistan,
7/22/2014,3:15 PM,female,tablet,0,Afghanistan,
7/19/2014,10:34 PM,female,desktop,1,Afghanistan,
7/27/2014,5:59 PM,female,desktop,0,Afghanistan,
7/19/2014,9:46 AM,male,mobile,0,Afghanistan,
7/31/2014,5:48 PM,female,mobile,1,Afghanistan,
7/26/2014,9:56 AM,female,mobile,0,Afghanistan,
7/23/2014,2:44 PM,female,tablet,0,Afghanistan,
7/27/2014,2:22 PM,female,tablet,0,Afghanistan,
7/26/2014,10:15 AM,female,desktop,0,Afghanistan,
7/30/2014,5:47 AM,male,desktop,0,Afghanistan,
7/23/2014,7:21 AM,male,desktop,0,Afghanistan,
7/22/2014,2:41 AM,male,desktop,0,Albania,
7/28/2014,10:01 PM,female,desktop,1,Albania,
7/22/2014,5:24 PM,male,desktop,1,Albania,
7/24/2014,12:21 AM,male,desktop,1,Albania,
7/25/2014,7:56 AM,male,desktop,0,Albania,
7/17/2014,12:54 AM,male,mobile,1,Albania,
7/25/2014,9:39 AM,female,mobile,0,Albania,
7/20/2014,5:41 AM,female,desktop,0,Albania,
7/17/2014,9:36 PM,male,mobile,0,Albania,
7/25/2014,9:38 PM,male,tablet,0,American Samoa,
7/22/2014,4:36 AM,male,tablet,0,American Samoa,
7/17/2014,1:07 AM,female,mobile,1,Angola,
7/26/2014,12:17 AM,male,desktop,0,Anguilla,
7/24/2014,2:34 AM,male,tablet,0,Argentina,
7/25/2014,5:46 AM,male,tablet,0,Argentina,
7/28/2014,3:32 AM,female,tablet,0,Argentina,
7/28/2014,2:25 AM,female,desktop,0,Argentina,
7/27/2014,5:01 AM,male,desktop,1,Argentina,
7/18/2014,11:16 PM,female,desktop,0,Argentina,
7/26/2014,1:20 PM,male,desktop,0,Argentina,
7/20/2014,6:32 AM,male,desktop,1,Argentina,
7/23/2014,12:33 PM,female,mobile,1,Argentina,
7/29/2014,3:07 AM,male,desktop,1,Argentina,
7/26/2014,10:48 PM,female,mobile,1,Argentina,
7/25/2014,12:07 PM,male,tablet,1,Argentina,
7/21/2014,7:35 AM,male,desktop,0,Argentina,
7/20/2014,8:28 AM,female,tablet,1,Argentina,
7/24/2014,12:03 AM,female,desktop,0,Argentina,
7/26/2014,7:08 PM,female,mobile,1,Argentina,
7/17/2014,11:19 AM,male,desktop,1,Argentina,
7/28/2014,3:05 PM,female,mobile,0,Argentina,
7/22/2014,8:34 AM,male,desktop,0,Argentina,
7/28/2014,10:38 PM,female,mobile,0,Argentina,
7/20/2014,2:29 PM,female,tablet,1,Argentina,
7/23/2014,5:58 AM,male,desktop,1,Argentina,
7/31/2014,6:02 AM,male,desktop,1,Argentina,
7/18/2014,9:00 AM,male,mobile,1,Argentina,
7/22/2014,8:21 AM,female,desktop,1,Argentina,
7/29/2014,7:23 AM,male,desktop,0,Argentina,
7/17/2014,2:26 PM,male,desktop,0,Argentina,
7/21/2014,10:08 AM,male,desktop,1,Argentina,
7/26/2014,8:05 AM,female,desktop,0,Argentina,
7/29/2014,8:53 AM,male,mobile,1,Argentina,
7/25/2014,11:46 PM,male,desktop,1,Argentina,
7/26/2014,3:43 PM,female,desktop,1,Argentina,
7/27/2014,7:54 AM,male,desktop,1,Argentina,
7/25/2014,12:59 PM,male,mobile,1,Argentina,
7/21/2014,5:39 AM,female,desktop,0,Argentina,
7/31/2014,5:30 AM,female,desktop,1,Argentina,
7/26/2014,2:26 PM,male,desktop,1,Argentina,
7/22/2014,10:43 PM,male,mobile,0,Argentina,
7/18/2014,12:29 AM,male,mobile,0,Argentina,
7/20/2014,10:02 AM,male,desktop,1,Argentina,
7/31/2014,3:42 PM,male,mobile,0,Argentina,
7/21/2014,5:19 AM,female,tablet,0,Argentina,
7/17/2014,5:42 AM,female,desktop,1,Argentina,
7/27/2014,3:39 PM,male,desktop,0,Argentina,
7/26/2014,7:09 PM,female,tablet,1,Argentina,
7/30/2014,7:36 PM,female,mobile,1,Argentina,
7/17/2014,6:06 AM,female,mobile,0,Argentina,
7/30/2014,9:00 AM,male,mobile,1,Argentina,
7/27/2014,11:40 AM,male,desktop,1,Argentina,
7/25/2014,11:36 PM,male,tablet,0,Armenia,
7/19/2014,6:15 PM,female,desktop,0,Armenia,
7/27/2014,12:14 PM,female,mobile,1,Armenia,
7/28/2014,9:32 PM,male,desktop,0,Armenia,
7/24/2014,4:35 PM,female,desktop,1,Armenia,
7/30/2014,12:49 AM,male,desktop,1,Armenia,
7/17/2014,5:24 AM,male,desktop,1,Armenia,
7/27/2014,6:58 PM,male,tablet,1,Armenia,
7/24/2014,10:09 PM,female,desktop,1,Armenia,
7/27/2014,5:19 PM,male,mobile,0,Armenia,
7/20/2014,4:33 AM,male,mobile,1,Armenia,
7/21/2014,2:34 AM,male,desktop,1,Armenia,
7/18/2014,12:45 AM,male,desktop,1,Armenia,
7/27/2014,6:05 AM,female,tablet,1,Armenia,
7/26/2014,4:30 PM,male,desktop,1,Armenia,
7/27/2014,4:32 AM,female,tablet,1,Armenia,
7/31/2014,9:18 PM,male,desktop,0,Armenia,
7/22/2014,11:25 AM,male,mobile,0,Armenia,
7/24/2014,1:19 PM,female,desktop,0,Armenia,
7/23/2014,8:58 AM,male,tablet,1,Australia,
7/28/2014,12:49 AM,female,mobile,0,Australia,
7/29/2014,2:06 AM,female,desktop,1,Australia,
7/24/2014,10:41 PM,male,mobile,0,Australia,
7/29/2014,7:24 PM,male,tablet,1,Austria,
7/18/2014,4:05 AM,female,desktop,0,Azerbaijan,
7/21/2014,6:00 PM,male,mobile,1,Azerbaijan,
7/17/2014,6:24 PM,male,tablet,0,Azerbaijan,
7/23/2014,7:39 PM,female,desktop,0,Azerbaijan,
7/21/2014,7:40 PM,female,tablet,0,Azerbaijan,
7/25/2014,5:31 AM,male,desktop,0,Azerbaijan,
7/18/2014,6:52 AM,male,tablet,1,Azerbaijan,
7/21/2014,6:13 AM,female,mobile,1,Azerbaijan,
7/19/2014,9:28 AM,male,tablet,0,Azerbaijan,
7/27/2014,11:15 AM,female,desktop,0,Azerbaijan,
7/21/2014,4:40 PM,male,desktop,0,Azerbaijan,
7/18/2014,8:53 PM,female,tablet,1,Azerbaijan,
7/27/2014,6:26 AM,female,desktop,0,Bahrain,
7/25/2014,7:59 PM,male,desktop,1,Bangladesh,
7/19/2014,11:59 AM,female,tablet,0,Bangladesh,
7/24/2014,1:50 PM,female,mobile,0,Bangladesh,
7/29/2014,2:40 PM,female,tablet,1,Bangladesh,
7/19/2014,1:19 PM,male,tablet,1,Bangladesh,
7/30/2014,6:23 AM,male,tablet,0,Bangladesh,
7/28/2014,2:30 AM,female,mobile,0,Bangladesh,
7/20/2014,10:39 PM,female,mobile,0,Bangladesh,
7/26/2014,5:15 AM,female,mobile,0,Bangladesh,
7/20/2014,11:52 AM,female,desktop,0,Bangladesh,
7/28/2014,1:13 AM,male,tablet,0,Bangladesh,
7/28/2014,6:44 AM,male,desktop,1,Bangladesh,
7/28/2014,6:24 PM,male,desktop,1,Belarus,
7/19/2014,11:03 PM,female,mobile,0,Belarus,
7/18/2014,5:29 AM,female,desktop,0,Belarus,
7/18/2014,6:00 AM,female,mobile,1,Belarus,
7/22/2014,12:38 AM,female,mobile,0,Belarus,
7/23/2014,5:24 AM,female,desktop,0,Belarus,
7/25/2014,2:33 AM,female,desktop,0,Belarus,
7/17/2014,4:19 AM,female,desktop,0,Belarus,
7/25/2014,4:52 PM,male,mobile,1,Belize,
7/21/2014,2:49 AM,female,tablet,0,Belize,
7/25/2014,12:55 PM,female,tablet,1,Benin,
7/17/2014,11:58 AM,male,desktop,1,Bermuda,
7/27/2014,9:34 AM,male,tablet,0,Bhutan,
7/21/2014,3:25 PM,female,mobile,0,Bolivia,
7/24/2014,3:37 AM,female,tablet,0,Bolivia,
7/28/2014,12:06 PM,male,mobile,0,Bolivia,
7/27/2014,1:03 PM,male,tablet,1,Bolivia,
7/27/2014,4:19 AM,male,tablet,1,Bolivia,
7/30/2014,11:38 AM,female,desktop,0,Bolivia,
7/21/2014,11:35 AM,male,desktop,0,Bolivia,
7/26/2014,5:10 AM,male,desktop,0,Bosnia and Herzegovina,
7/21/2014,7:45 AM,female,mobile,1,Bosnia and Herzegovina,
7/23/2014,7:38 AM,female,desktop,1,Bosnia and Herzegovina,
7/30/2014,8:30 AM,female,mobile,0,Bosnia and Herzegovina,
7/29/2014,6:04 PM,male,tablet,1,Bosnia and Herzegovina,
7/29/2014,2:27 AM,male,tablet,1,Bosnia and Herzegovina,
7/23/2014,7:43 AM,female,desktop,1,Bosnia and Herzegovina,
7/24/2014,4:05 AM,female,mobile,0,Bosnia and Herzegovina,
7/25/2014,12:32 AM,female,mobile,0,Bosnia and Herzegovina,
7/18/2014,1:33 AM,male,tablet,0,Botswana,
7/28/2014,4:25 PM,male,mobile,1,Botswana,
7/20/2014,10:23 PM,female,tablet,0,Botswana,
7/17/2014,5:16 PM,female,mobile,0,Botswana,
7/22/2014,3:00 PM,female,tablet,1,Botswana,
7/19/2014,1:22 AM,female,tablet,1,Brazil,
7/29/2014,9:51 PM,male,mobile,1,Brazil,
7/28/2014,10:11 AM,male,tablet,0,Brazil,
7/26/2014,11:18 PM,male,desktop,0,Brazil,
7/28/2014,6:06 AM,female,tablet,0,Brazil,
7/26/2014,1:00 PM,male,desktop,1,Brazil,
7/22/2014,7:28 AM,female,tablet,0,Brazil,
7/19/2014,3:29 AM,male,desktop,0,Brazil,
7/23/2014,11:55 AM,female,desktop,1,Brazil,
7/30/2014,3:05 AM,male,mobile,1,Brazil,
7/19/2014,4:27 PM,male,tablet,0,Brazil,
7/21/2014,12:41 AM,female,tablet,1,Brazil,
7/24/2014,9:34 AM,female,desktop,1,Brazil,
7/27/2014,8:24 AM,female,tablet,0,Brazil,
7/27/2014,12:10 AM,female,mobile,1,Brazil,
7/26/2014,11:56 AM,male,mobile,1,Brazil,
7/25/2014,4:33 PM,female,desktop,1,Brazil,
7/20/2014,9:31 PM,male,desktop,0,Brazil,
7/19/2014,5:54 PM,male,tablet,1,Brazil,
7/27/2014,7:50 AM,female,tablet,1,Brazil,
7/30/2014,3:44 PM,female,desktop,0,Brazil,
7/18/2014,12:12 AM,male,desktop,0,Brazil,
7/26/2014,2:28 AM,female,tablet,1,Brazil,
7/25/2014,11:55 AM,female,desktop,0,Brazil,
7/30/2014,9:11 PM,female,desktop,1,Brazil,
7/25/2014,5:32 PM,female,desktop,1,Brazil,
7/31/2014,10:07 AM,female,tablet,0,Brazil,
7/31/2014,3:37 AM,male,mobile,1,Brazil,
7/21/2014,6:27 AM,male,desktop,0,Brazil,
7/25/2014,3:40 AM,female,mobile,0,Brazil,
7/24/2014,10:18 AM,female,desktop,0,Brazil,
7/28/2014,1:38 AM,female,mobile,1,Brazil,
7/28/2014,4:50 AM,female,desktop,1,Brazil,
7/25/2014,4:43 PM,male,desktop,0,Brazil,
7/18/2014,11:44 AM,female,tablet,1,Brazil,
7/22/2014,11:28 PM,female,mobile,0,Brazil,
7/26/2014,7:54 PM,female,mobile,1,Brazil,
7/30/2014,11:00 PM,female,desktop,0,Brazil,
7/30/2014,2:46 AM,male,tablet,1,Brazil,
7/25/2014,3:17 PM,female,tablet,0,Brazil,
7/31/2014,10:01 PM,female,tablet,0,Brazil,
7/27/2014,2:27 PM,male,tablet,0,Brazil,
7/27/2014,4:54 AM,male,mobile,0,Brazil,
7/29/2014,11:55 AM,female,mobile,0,Brazil,
7/28/2014,6:58 PM,male,tablet,1,Brazil,
7/17/2014,7:37 AM,female,mobile,1,Brazil,
7/21/2014,1:15 AM,male,tablet,0,Brazil,
7/31/2014,12:31 PM,female,desktop,1,Brazil,
7/27/2014,1:33 PM,female,tablet,1,Brazil,
7/24/2014,9:50 AM,male,tablet,0,Brazil,
7/21/2014,8:53 PM,female,desktop,0,Brazil,
7/17/2014,4:46 AM,female,tablet,0,Brazil,
7/27/2014,9:11 AM,female,desktop,1,Brazil,
7/22/2014,2:36 PM,female,desktop,1,Brazil,
7/22/2014,2:51 PM,male,desktop,1,Brazil,
7/17/2014,11:24 PM,male,tablet,1,Brazil,
7/20/2014,3:16 AM,male,desktop,1,Brazil,
7/19/2014,3:38 PM,female,desktop,1,Brazil,
7/30/2014,12:09 PM,male,mobile,0,Brazil,
7/25/2014,6:12 AM,female,mobile,0,Brazil,
7/31/2014,11:22 AM,male,mobile,0,Brazil,
7/19/2014,1:18 AM,male,mobile,0,Brazil,
7/23/2014,2:17 PM,female,mobile,0,Brazil,
7/30/2014,8:54 AM,female,mobile,1,Brazil,
7/26/2014,5:58 PM,female,desktop,1,Brazil,
7/17/2014,11:43 AM,female,tablet,1,Brazil,
7/30/2014,4:27 AM,male,mobile,1,Brazil,
7/30/2014,12:24 PM,male,desktop,1,Brazil,
7/28/2014,8:04 PM,male,tablet,0,Brazil,
7/19/2014,3:35 AM,male,mobile,1,Brazil,
7/26/2014,3:05 PM,male,desktop,1,Brazil,
7/23/2014,1:50 AM,male,mobile,1,Brazil,
7/18/2014,5:16 AM,male,tablet,1,Brazil,
7/31/2014,3:54 AM,female,mobile,0,Brazil,
7/24/2014,9:07 AM,female,desktop,0,Brazil,
7/25/2014,6:55 PM,male,mobile,0,Brazil,
7/22/2014,2:34 PM,female,mobile,0,Brazil,
7/28/2014,7:48 AM,male,tablet,0,Brazil,
7/29/2014,11:29 PM,male,tablet,0,Brazil,
7/17/2014,11:13 PM,male,tablet,1,Brazil,
7/21/2014,4:54 PM,male,mobile,0,Brazil,
7/18/2014,8:02 PM,male,tablet,0,Brazil,
7/24/2014,1:34 AM,male,mobile,0,Brazil,
7/24/2014,9:56 PM,female,mobile,1,Brazil,
7/18/2014,3:17 AM,male,mobile,1,Brazil,
7/20/2014,7:30 AM,female,desktop,1,Brazil,
7/24/2014,3:05 PM,male,mobile,0,Brazil,
7/17/2014,4:43 AM,female,desktop,0,Brazil,
7/18/2014,12:08 PM,male,mobile,1,Brazil,
7/18/2014,4:22 AM,male,tablet,0,Brazil,
7/31/2014,1:51 AM,male,mobile,0,Brazil,
7/20/2014,8:21 AM,male,mobile,0,Brazil,
7/24/2014,12:24 PM,female,desktop,0,Brazil,
7/31/2014,11:20 PM,male,desktop,0,Brazil,
7/26/2014,2:54 AM,female,tablet,1,Brazil,
7/30/2014,9:41 PM,male,desktop,1,Brazil,
7/21/2014,12:35 AM,male,mobile,1,Brazil,
7/26/2014,11:44 AM,male,desktop,0,Brazil,
7/24/2014,9:59 PM,female,tablet,1,Brazil,
7/18/2014,5:17 PM,male,mobile,0,Brazil,
7/25/2014,11:02 AM,male,tablet,0,Brazil,
7/26/2014,6:15 PM,male,desktop,1,Brazil,
7/22/2014,1:24 AM,female,tablet,0,Brazil,
7/31/2014,8:55 PM,male,mobile,1,Brazil,
7/24/2014,4:56 PM,female,tablet,1,Brazil,
7/28/2014,4:05 AM,female,tablet,0,Brazil,
7/20/2014,12:48 PM,female,mobile,1,Brazil,
7/23/2014,7:00 PM,male,mobile,1,Brazil,
7/17/2014,5:52 AM,female,tablet,1,Brazil,
7/28/2014,6:44 AM,female,mobile,1,Brazil,
7/20/2014,11:44 PM,female,tablet,0,Brazil,
7/27/2014,4:01 AM,male,desktop,0,Brazil,
7/25/2014,4:10 PM,male,mobile,0,Brazil,
7/18/2014,11:36 PM,male,desktop,0,Brazil,
7/31/2014,11:38 AM,female,tablet,0,Brazil,
7/25/2014,9:19 AM,female,desktop,1,Brazil,
7/24/2014,4:03 AM,male,desktop,1,Brazil,
